action,count,percentage
punch,711,26.5
none,449,16.7
shove,331,12.3
kick,284,10.6
hit with an object,208,7.7
hair grabbing,161,6.0
restrain while on feet,108,4.0
pinned down on the ground,94,3.5
slap,87,3.2
choke,86,3.2
aggressive talking,68,2.5
drag,31,1.2
grab clothing,18,0.7
chase,13,0.5
elbow,12,0.4
snatch,10,0.4
headbutt,7,0.3
lifting a person aggressively,5,0.2
tackle,2,0.1
indecent gesture,1,0.0
bodyslam,1,0.0
